Number of Records,Lg I Dloser,Lg I Dwinner,Losses,Round,Team I Dloser,Team I Dwinner,Ties,Wins,Year ID
1,AL,AL,3,ALCS,TOR,KCR,0,4,1985
1,NL,NL,2,NLCS,LAD,STL,0,4,1985
1,NL,AL,3,WS,STL,KCR,0,4,1985
1,AL,AL,3,ALCS,ANA,BOS,0,4,1986
1,NL,NL,2,NLCS,HOU,NYM,0,4,1986
1,AL,NL,3,WS,BOS,NYM,0,4,1986
1,AL,AL,1,ALCS,DET,MIN,0,4,1987
1,NL,NL,3,NLCS,SFG,STL,0,4,1987
1,NL,AL,3,WS,STL,MIN,0,4,1987
1,AL,AL,0,ALCS,BOS,OAK,0,4,1988
1,NL,NL,3,NLCS,NYM,LAD,0,4,1988
1,AL,NL,1,WS,OAK,LAD,0,4,1988
1,AL,AL,1,ALCS,TOR,OAK,0,4,1989
1,NL,NL,1,NLCS,CHC,SFG,0,4,1989
1,NL,AL,0,WS,SFG,OAK,0,4,1989
1,AL,AL,0,ALCS,BOS,OAK,0,4,1990
1,NL,NL,2,NLCS,PIT,CIN,0,4,1990
1,AL,NL,0,WS,OAK,CIN,0,4,1990
1,AL,AL,1,ALCS,TOR,MIN,0,4,1991
1,NL,NL,3,NLCS,PIT,ATL,0,4,1991
1,NL,AL,3,WS,ATL,MIN,0,4,1991
1,AL,AL,2,ALCS,OAK,TOR,0,4,1992
1,NL,NL,3,NLCS,PIT,ATL,0,4,1992
1,NL,AL,2,WS,ATL,TOR,0,4,1992
1,AL,AL,2,ALCS,CHW,TOR,0,4,1993
1,NL,NL,2,NLCS,ATL,PHI,0,4,1993
1,NL,AL,2,WS,PHI,TOR,0,4,1993
1,AL,AL,2,ALCS,SEA,CLE,0,4,1995
1,AL,AL,0,ALDS1,BOS,CLE,0,3,1995
1,AL,AL,2,ALDS2,NYY,SEA,0,3,1995
1,NL,NL,0,NLCS,CIN,ATL,0,4,1995
1,NL,NL,1,NLDS1,COL,ATL,0,3,1995
1,NL,NL,0,NLDS2,LAD,CIN,0,3,1995
1,AL,NL,2,WS,CLE,ATL,0,4,1995
1,AL,AL,1,ALCS,BAL,NYY,0,4,1996
1,AL,AL,1,ALDS1,CLE,BAL,0,3,1996
1,AL,AL,1,ALDS2,TEX,NYY,0,3,1996
1,NL,NL,3,NLCS,STL,ATL,0,4,1996
1,NL,NL,0,NLDS1,LAD,ATL,0,3,1996
1,NL,NL,0,NLDS2,SDP,STL,0,3,1996
1,NL,AL,2,WS,ATL,NYY,0,4,1996
