Lg I Dloser,Lg I Dwinner,Losses,Number of Records,Round,Team I Dloser,Team I Dwinner,Ties,W,Wins,Year ID
AL,AL,3,1,ALCS,TOR,KCR,0,99,4,1985
NL,NL,2,1,NLCS,LAD,STL,0,95,4,1985
NL,AL,3,1,WS,STL,KCR,0,101,4,1985
AL,AL,3,1,ALCS,ANA,BOS,0,92,4,1986
NL,NL,2,1,NLCS,HOU,NYM,0,96,4,1986
AL,NL,3,1,WS,BOS,NYM,0,95,4,1986
AL,AL,1,1,ALCS,DET,MIN,0,98,4,1987
NL,NL,3,1,NLCS,SFG,STL,0,90,4,1987
NL,AL,3,1,WS,STL,MIN,0,95,4,1987
AL,AL,0,1,ALCS,BOS,OAK,0,89,4,1988
NL,NL,3,1,NLCS,NYM,LAD,0,100,4,1988
AL,NL,1,1,WS,OAK,LAD,0,104,4,1988
AL,AL,1,1,ALCS,TOR,OAK,0,89,4,1989
NL,NL,1,1,NLCS,CHC,SFG,0,93,4,1989
NL,AL,0,1,WS,SFG,OAK,0,92,4,1989
AL,AL,0,1,ALCS,BOS,OAK,0,88,4,1990
NL,NL,2,1,NLCS,PIT,CIN,0,95,4,1990
AL,NL,0,1,WS,OAK,CIN,0,103,4,1990
AL,AL,1,1,ALCS,TOR,MIN,0,91,4,1991
NL,NL,3,1,NLCS,PIT,ATL,0,98,4,1991
NL,AL,3,1,WS,ATL,MIN,0,94,4,1991
AL,AL,2,1,ALCS,OAK,TOR,0,96,4,1992
NL,NL,3,1,NLCS,PIT,ATL,0,96,4,1992
NL,AL,2,1,WS,ATL,TOR,0,98,4,1992
AL,AL,2,1,ALCS,CHW,TOR,0,94,4,1993
NL,NL,2,1,NLCS,ATL,PHI,0,104,4,1993
NL,AL,2,1,WS,PHI,TOR,0,97,4,1993
AL,AL,2,1,ALCS,SEA,CLE,0,79,4,1995
AL,AL,0,1,ALDS1,BOS,CLE,0,86,3,1995
AL,AL,2,1,ALDS2,NYY,SEA,0,79,3,1995
NL,NL,0,1,NLCS,CIN,ATL,0,85,4,1995
NL,NL,1,1,NLDS1,COL,ATL,0,77,3,1995
NL,NL,0,1,NLDS2,LAD,CIN,0,78,3,1995
AL,NL,2,1,WS,CLE,ATL,0,100,4,1995
AL,AL,1,1,ALCS,BAL,NYY,0,88,4,1996
AL,AL,1,1,ALDS1,CLE,BAL,0,99,3,1996
AL,AL,1,1,ALDS2,TEX,NYY,0,90,3,1996
NL,NL,3,1,NLCS,STL,ATL,0,88,4,1996
NL,NL,0,1,NLDS1,LAD,ATL,0,90,3,1996
NL,NL,0,1,NLDS2,SDP,STL,0,91,3,1996
NL,AL,2,1,WS,ATL,NYY,0,96,4,1996
AL,AL,2,1,ALCS,BAL,CLE,0,98,4,1997
AL,AL,2,1,ALDS1,NYY,CLE,0,96,3,1997
AL,AL,1,1,ALDS2,SEA,BAL,0,90,3,1997
NL,NL,2,1,NLCS,ATL,FLA,0,101,4,1997
NL,NL,0,1,NLDS1,SFG,FLA,0,90,3,1997
NL,NL,0,1,NLDS2,HOU,ATL,0,84,3,1997
AL,NL,3,1,WS,CLE,FLA,0,86,4,1997
AL,AL,2,1,ALCS,CLE,NYY,0,89,4,1998
AL,AL,1,1,ALDS1,BOS,CLE,0,92,3,1998
AL,AL,0,1,ALDS2,TEX,NYY,0,88,3,1998
NL,NL,2,1,NLCS,ATL,SDP,0,106,4,1998
NL,NL,0,1,NLDS1,CHC,ATL,0,90,3,1998
NL,NL,1,1,NLDS2,HOU,SDP,0,102,3,1998
NL,AL,0,1,WS,SDP,NYY,0,98,4,1998
AL,AL,1,1,ALCS,BOS,NYY,0,94,4,1999
AL,AL,2,1,ALDS1,CLE,BOS,0,97,3,1999
AL,AL,0,1,ALDS2,TEX,NYY,0,95,3,1999
NL,NL,2,1,NLCS,NYM,ATL,0,97,4,1999
