2B,3B,AB,BBA,BB,BPF,CG,CS,Color B,Color G,Color R,DP,Div Win,ERA,ER,E,FP,Franchise ID,G,Ghome,HA,HBP,HRA,HR,H,I Pouts,L,Lg Win,Number of Records,PPF,RA,R,Rank,SB,SF,SHO,SOA,SO,SV,WC Win,WS Win,W,Attendance,Div ID,Franch ID,Lg ID,Name,Park,Team IDBR,Team ID,teamIDlahman45,Team I Dretro,Year ID
213,28,5526,642,553,105,9,52,65,17,207,197,N,4.19,678,159,0.976,ATL,162,81,1512,,134,126,1359,4371,96,N,1,106,781,632,5,72,,9,776,849,29,,N,66,1350137,W,ATL,NL,Atlanta Braves,Atlanta-Fulton County Stadium,ATL,ATL,ATL,ATL,1985
234,22,5517,568,604,97,32,43,1,70,223,168,N,4.38,694,115,0.98,BAL,161,81,1480,,160,214,1451,4281,78,N,1,97,764,818,4,69,,6,793,908,33,,N,83,2132387,E,BAL,AL,Baltimore Orioles,Memorial Stadium,BAL,BAL,BAL,BAL,1985
292,31,5720,540,562,104,35,27,48,12,198,161,N,4.06,659,145,0.977,BOS,163,81,1487,,130,162,1615,4383,81,N,1,104,720,800,5,66,,8,913,816,29,,N,81,1786633,E,BOS,AL,Boston Red Sox,Fenway Park II,BOS,BOS,BOS,BOS,1985
215,31,5442,514,648,100,22,51,32,0,185,202,N,3.91,633,112,0.982,ANA,162,79,1453,,171,153,1364,4371,72,N,1,100,703,732,2,106,,8,767,902,41,,N,90,2567427,W,ANA,AL,California Angels,Anaheim Stadium,CAL,CAL,CAL,CAL,1985
247,37,5470,569,471,104,20,56,0,0,0,152,N,4.07,656,111,0.982,CHW,163,81,1411,,161,146,1386,4353,77,N,1,104,720,736,3,108,,8,1023,843,39,,N,85,1669888,W,CHW,AL,Chicago White Sox,Comiskey Park,CHW,CHA,CHA,CHA,1985
239,28,5492,519,562,110,20,49,134,51,12,150,N,4.16,667,134,0.979,CHC,162,81,1492,,156,150,1397,4326,84,N,1,110,729,686,4,182,,8,820,937,42,,N,77,2161534,E,CHC,NL,Chicago Cubs,Wrigley Field,CHC,CHN,CHN,CHN,1985
249,34,5431,535,576,104,24,70,31,1,198,142,N,3.71,598,121,0.98,CIN,162,81,1347,,131,114,1385,4353,72,N,1,105,666,677,2,159,,11,910,856,45,,N,89,1834619,W,CIN,NL,Cincinnati Reds,Riverfront Stadium,CIN,CIN,CIN,CIN,1985
254,31,5527,547,492,99,24,72,59,8,215,161,N,4.91,775,141,0.977,CLE,162,81,1556,,170,116,1465,4263,102,N,1,100,861,729,7,132,,7,702,817,28,,N,60,655181,E,CLE,AL,Cleveland Indians,Cleveland Stadium,CLE,CLE,CLE,CLE,1985
254,45,5575,556,526,100,31,41,67,35,6,152,N,3.78,612,141,0.977,DET,161,81,1313,,141,202,1413,4368,77,N,1,98,688,729,3,75,,11,943,926,40,,N,84,2286609,E,DET,AL,Detroit Tigers,Tiger Stadium,DET,DET,DET,DET,1985
261,42,5582,543,477,97,17,56,42,73,214,159,N,3.66,593,152,0.976,HOU,162,81,1393,,119,121,1457,4374,79,N,1,96,691,706,3,96,,9,909,873,42,,N,83,1184314,W,HOU,NL,Houston Astros,Astrodome,HOU,HOU,HOU,HOU,1985
261,49,5500,463,473,100,27,48,116,44,0,160,Y,3.49,567,127,0.98,KCR,162,82,1433,,103,154,1384,4383,71,Y,1,100,639,687,1,128,,11,846,840,41,,Y,91,2162717,W,KCR,AL,Kansas City Royals,Royals Stadium,KCR,KCA,KCA,KCA,1985
226,28,5502,462,539,97,37,58,117,58,34,131,Y,2.96,482,166,0.974,LAD,162,81,1280,,102,129,1434,4395,67,N,1,96,579,682,1,136,,21,979,846,36,,N,95,3264593,W,LAD,NL,Los Angeles Dodgers,Dodger Stadium,LAD,LAN,LAN,LAN,1985
