Number of Records,Franchise ID,Lg ID,Name First,Name Given,Name Last,playerID (Master.csv),Player ID,Pos Team ID,Starting Pos,Team ID,Year ID
1,DET,AL,Jack,John Scott,Morris,morrija02,morrija02,DET,1,DET,1985
1,CHW,AL,Carlton,Carlton Ernest,Fisk,fiskca01,fiskca01,CHA,2,CHA,1985
1,BAL,AL,Eddie,Eddie Clarence,Murray,murraed02,murraed02,BAL,3,BAL,1985
1,DET,AL,Lou,Louis Rodman,Whitaker,whitalo01,whitalo01,DET,4,DET,1985
1,KCR,AL,George,George Howard,Brett,brettge01,brettge01,KCA,5,KCA,1985
1,BAL,AL,Cal,Calvin Edwin,Ripken,ripkeca01,ripkeca01,BAL,6,BAL,1985
1,BOS,AL,Jim,James Edward,Rice,riceji01,riceji01,BOS,7,BOS,1985
1,NYY,AL,Rickey,Rickey Nelson Henley,Henderson,henderi01,henderi01,NYA,8,NYA,1985
1,NYY,AL,Dave,David Mark,Winfield,winfida01,winfida01,NYA,9,NYA,1985
1,CHW,AL,Harold,Harold Douglas,Baines,baineha01,baineha01,CHA,,CHA,1985
1,CLE,AL,Bert,Rik Aalbert,Blyleven,blylebe01,blylebe01,CLE,,CLE,1985
1,BOS,AL,Wade,Wade Anthony,Boggs,boggswa01,boggswa01,BOS,,BOS,1985
1,SEA,AL,Phil,Philip Poole,Bradley,bradlph01,bradlph01,SEA,,SEA,1985
1,MIN,AL,Tom,Thomas Andrew,Brunansky,brunato01,brunato01,MIN,,MIN,1985
1,MIL,AL,Cecil,Cecil Celester,Cooper,coopece01,coopece01,ML4,,ML4,1985
1,TOR,AL,Damaso,Damaso Domingo,Garcia,garcida01,garcida01,TOR,,TOR,1985
1,BOS,AL,Rich,Richard Leo,Gedman,gedmari01,gedmari01,BOS,,BOS,1985
1,DET,AL,Willie,Guillermo,Hernandez,hernawi01,hernawi01,DET,,DET,1985
1,OAK,AL,Jay,Jay Canfield,Howell,howelja01,howelja01,OAK,,OAK,1985
1,TOR,AL,Jimmy,James Edward,Key,keyji01,keyji01,TOR,,TOR,1985
1,NYY,AL,Don,Donald Arthur,Mattingly,mattido01,mattido01,NYA,,NYA,1985
1,MIL,AL,Paul,Paul Leo,Molitor,molitpa01,molitpa01,ML4,,ML4,1985
1,ANA,AL,Donnie,Donnie Ray,Moore,mooredo01,mooredo01,CAL,,CAL,1985
1,DET,AL,Lance,Lance Michael,Parrish,parrila02,parrila02,DET,,DET,1985
1,DET,AL,Dan,Daniel Joseph,Petry,petryda01,petryda01,DET,,DET,1985
1,TOR,AL,Dave,David Andrew,Stieb,stiebda01,stiebda01,TOR,,TOR,1985
1,DET,AL,Alan,Alan Stuart,Trammell,trammal01,trammal01,DET,,DET,1985
1,TEX,AL,Gary,Gary Lamell,Ward,wardga01,wardga01,TEX,,TEX,1985
1,TOR,AL,Ernie,Leo Ernest,Whitt,whitter01,whitter01,TOR,,TOR,1985
1,SDP,NL,LaMarr,Dewey LaMarr,Hoyt,hoytla01,hoytla01,SDN,1,SDN,1985
1,SDP,NL,Terry,Terrance Edward,Kennedy,kennete02,kennete02,SDN,2,SDN,1985
1,SDP,NL,Steve,Steven Patrick,Garvey,garvest01,garvest01,SDN,3,SDN,1985
1,STL,NL,Tom,Thomas Mitchell,Herr,herrto01,herrto01,SLN,4,SLN,1985
1,SDP,NL,Graig,Graig,Nettles,nettlgr01,nettlgr01,SDN,5,SDN,1985
1,STL,NL,Ozzie,Osborne Earl,Smith,smithoz01,smithoz01,SLN,6,SLN,1985
1,SDP,NL,Tony,Anthony Keith,Gwynn,gwynnto01,gwynnto01,SDN,7,SDN,1985
1,ATL,NL,Dale,Dale Bryan,Murphy,murphda05,murphda05,ATL,8,ATL,1985
1,NYM,NL,Darryl,Darryl Eugene,Strawberry,strawda01,strawda01,NYN,9,NYN,1985
1,STL,NL,Joaquin,Joaquin,Andujar,andujjo01,andujjo01,SLN,,SLN,1985
1,NYM,NL,Gary,Gary Edmund,Carter,cartega01,cartega01,NYN,,NYN,1985
1,STL,NL,Jack,Jack Anthony,Clark,clarkja01,clarkja01,SLN,,SLN,1985
1,HOU,NL,Jose,Jose,Cruz,cruzjo01,cruzjo01,HOU,,HOU,1985
1,NYM,NL,Ron,Ronald Maurice,Darling,darliro01,darliro01,NYN,,NYN,1985
1,SFG,NL,Scott,Scott William,Garrelts,garresc01,garresc01,SFN,,SFN,1985
1,NYM,NL,Dwight,Dwight Eugene,Gooden,goodedw01,goodedw01,NYN,,NYN,1985
1,SDP,NL,Rich,Richard Michael,Gossage,gossari01,gossari01,SDN,,SDN,1985
1,LAD,NL,Pedro,Pedro,Guerrero,guerrpe01,guerrpe01,LAN,,LAN,1985
1,STL,NL,Willie,Willie Dean,McGee,mcgeewi01,mcgeewi01,SLN,,SLN,1985
1,CIN,NL,Dave,David Gene,Parker,parkeda01,parkeda01,CIN,,CIN,1985
1,PIT,NL,Tony,Antonio Francesco,Pena,penato01,penato01,PIT,,PIT,1985
1,WSN,NL,Tim,Timothy,Raines,raineti01,raineti01,MON,,MON,1985
1,WSN,NL,Jeff,Jeffrey James,Reardon,reardje01,reardje01,MON,,MON,1985
1,CIN,NL,Pete,Peter Edward,Rose,rosepe01,rosepe01,CIN,,CIN,1985
1,HOU,NL,Nolan,Lynn Nolan,Ryan,ryanno01,ryanno01,HOU,,HOU,1985
1,CHC,NL,Ryne,Ryne Dee,Sandberg,sandbry01,sandbry01,CHN,,CHN,1985
1,SDP,NL,Garry,Garry Lewis,Templeton,templga01,templga01,SDN,,SDN,1985
1,LAD,NL,Fernando,Fernando,Valenzuela,valenfe01,valenfe01,LAN,,LAN,1985
1,PHI,NL,Ozzie,Osvaldo Jose,Virgil,virgioz02,virgioz02,PHI,,PHI,1985
1,WSN,NL,Tim,Timothy Charles,Wallach,wallati01,wallati01,MON,,MON,1985
1,PHI,NL,Glenn,Glenn Dwight,Wilson,wilsogl01,wilsogl01,PHI,,PHI,1985
1,BOS,AL,Roger,William Roger,Clemens,clemero02,clemero02,BOS,1,BOS,1986
1,DET,AL,Lance,Lance Michael,Parrish,parrila02,parrila02,DET,2,DET,1986
1,ANA,AL,Wally,Wallace Keith,Joyner,joynewa01,joynewa01,CAL,3,CAL,1986
1,DET,AL,Lou,Louis Rodman,Whitaker,whitalo01,whitalo01,DET,4,DET,1986
1,BOS,AL,Wade,Wade Anthony,Boggs,boggswa01,boggswa01,BOS,5,BOS,1986
1,BAL,AL,Cal,Calvin Edwin,Ripken,ripkeca01,ripkeca01,BAL,6,BAL,1986
1,NYY,AL,Rickey,Rickey Nelson Henley,Henderson,henderi01,henderi01,NYA,7,NYA,1986
1,MIN,AL,Kirby,Kirby,Puckett,puckeki01,puckeki01,MIN,8,MIN,1986
